method,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,fps,vram_gb,train_time_h,num_images
3DGS,27.50,1.23,0.815,0.042,0.210,0.035,120,4.2,1.5,200
Mip-Splatting,27.80,1.15,0.822,0.038,0.198,0.032,95,5.1,2.0,200
Scaffold-GS,27.60,1.20,0.818,0.040,0.205,0.031,110,3.8,1.3,200
4DGS,26.90,1.35,0.798,0.048,0.238,0.040,85,6.5,3.0,200
SuGaR,27.10,1.28,0.805,0.045,0.225,0.038,100,4.8,1.8,200
Compact3D,27.00,1.30,0.800,0.047,0.228,0.039,140,2.9,2.2,200
GaussianPro,27.40,1.18,0.820,0.037,0.202,0.033,105,4.5,1.6,200
PixelGS,27.35,1.22,0.816,0.041,0.208,0.034,115,4.0,1.4,200
